hsa00010	hsa00020	hsa00030	hsa00040	hsa00051	hsa00052	hsa00053	hsa00061	hsa00062	hsa00071	hsa00100	hsa00120	hsa00130	hsa00140	hsa00190	hsa00220	hsa00230	hsa00232	hsa00240	hsa00250	hsa00260	hsa00270	hsa00280	hsa00290	hsa00310	hsa00330	hsa00340	hsa00350	hsa00360	hsa00380	hsa00400	hsa00410	hsa00430	hsa00440	hsa00450	hsa00470	hsa00480	hsa00500	hsa00510	hsa00511	hsa00512	hsa00513	hsa00514	hsa00515	hsa00520	hsa00524	hsa00531	hsa00532	hsa00533	hsa00534	hsa00561	hsa00562	hsa00563	hsa00564	hsa00565	hsa00590	hsa00591	hsa00592	hsa00600	hsa00601	hsa00603	hsa00604	hsa00620	hsa00630	hsa00640	hsa00650	hsa00670	hsa00730	hsa00740	hsa00750	hsa00760	hsa00770	hsa00780	hsa00785	hsa00790	hsa00830	hsa00860	hsa00900	hsa00910	hsa00920	hsa00970	hsa00980	hsa00982	hsa00983	hsa01040	hsa01100	hsa01200	hsa01210	hsa01212	hsa01230	hsa01232	hsa01240	hsa01250	hsa01521	hsa01522	hsa01523	hsa01524	hsa02010	hsa03008	hsa03010	hsa03013	hsa03015	hsa03018	hsa03020	hsa03022	hsa03030	hsa03040	hsa03050	hsa03060	hsa03250	hsa03260	hsa03264	hsa03265	hsa03266	hsa03267	hsa03320	hsa03410	hsa03420	hsa03430	hsa03440	hsa03450	hsa03460	hsa04010	hsa04012	hsa04014	hsa04015	hsa04020	hsa04022	hsa04024	hsa04060	hsa04061	hsa04062	hsa04064	hsa04066	hsa04068	hsa04070	hsa04071	hsa04072	hsa04080	hsa04110	hsa04114	hsa04115	hsa04120	hsa04122	hsa04130	hsa04136	hsa04137	hsa04140	hsa04141	hsa04142	hsa04144	hsa04145	hsa04146	hsa04150	hsa04151	hsa04152	hsa04210	hsa04211	hsa04213	hsa04215	hsa04216	hsa04217	hsa04218	hsa04260	hsa04261	hsa04270	hsa04310	hsa04330	hsa04340	hsa04350	hsa04360	hsa04370	hsa04371	hsa04380	hsa04390	hsa04392	hsa04510	hsa04512	hsa04514	hsa04520	hsa04530	hsa04540	hsa04550	hsa04610	hsa04611	hsa04612	hsa04613	hsa04614	hsa04620	hsa04621	hsa04622	hsa04623	hsa04625	hsa04630	hsa04640	hsa04650	hsa04657	hsa04658	hsa04659	hsa04660	hsa04662	hsa04664	hsa04666	hsa04668	hsa04670	hsa04672	hsa04710	hsa04713	hsa04714	hsa04720	hsa04721	hsa04722	hsa04723	hsa04724	hsa04725	hsa04726	hsa04727	hsa04728	hsa04730	hsa04740	hsa04742	hsa04744	hsa04750	hsa04810	hsa04910	hsa04911	hsa04912	hsa04913	hsa04914	hsa04915	hsa04916	hsa04917	hsa04918	hsa04919	hsa04920	hsa04921	hsa04922	hsa04923	hsa04924	hsa04925	hsa04926	hsa04927	hsa04928	hsa04929	hsa04930	hsa04931	hsa04932	hsa04933	hsa04934	hsa04935	hsa04936	hsa04940	hsa04950	hsa04960	hsa04961	hsa04962	hsa04964	hsa04966	hsa04970	hsa04971	hsa04972	hsa04973	hsa04974	hsa04975	hsa04976	hsa04977	hsa04978	hsa04979	hsa05010	hsa05012	hsa05014	hsa05016	hsa05017	hsa05020	hsa05022	hsa05030	hsa05031	hsa05032	hsa05033	hsa05034	hsa05100	hsa05110	hsa05120	hsa05130	hsa05131	hsa05132	hsa05133	hsa05134	hsa05135	hsa05140	hsa05142	hsa05143	hsa05144	hsa05145	hsa05146	hsa05150	hsa05152	hsa05160	hsa05161	hsa05162	hsa05163	hsa05164	hsa05165	hsa05166	hsa05167	hsa05168	hsa05169	hsa05170	hsa05171	hsa05200	hsa05202	hsa05203	hsa05204	hsa05205	hsa05206	hsa05207	hsa05208	hsa05210	hsa05211	hsa05212	hsa05213	hsa05214	hsa05215	hsa05216	hsa05217	hsa05218	hsa05219	hsa05220	hsa05221	hsa05222	hsa05223	hsa05224	hsa05225	hsa05226	hsa05230	hsa05231	hsa05235	hsa05310	hsa05320	hsa05321	hsa05322	hsa05323	hsa05330	hsa05332	hsa05340	hsa05410	hsa05412	hsa05414	hsa05415	hsa05416	hsa05417	hsa05418
C00074	C15972	C03752	C00029	C00464	C01286	C00096	C02679	C05265	C05271	C15780	C17331	C17552	C05497	C00080	C01250	C00360	C16358	C00106	C03794	C00197	C01137	C00068	C00671	C00408	C01137	C00049	C05579	C05853	C05655	C00079	C00986	C00506	C17960	C05698	C00022	C03646	C00031							C13952	C18004					C00040	C04579		C00570	C04635	C14821	C14828	C16331	C05681				C00024	C00258	C00100	C02527		C01279	C01727	C00534	C04226	C01134	C06250	C02972	C01300	C16681	C11830	C11811	C01417	C00409	C03127	C14869	C16591	C02380	C08323	C01091	C00354	C08412	C05748	C05345	C00242	C00049	C19961			C00234		C00492																											C00575		C00575	C00076	C01330					C00338		C01284	C00550	C06124	C12272					C00019							C00044					C00665					C21478	C14592		C00076	C00575																																																																																																																																																																																											
C00197	C00068	C04442	C00312	C02492	C00446	C02670	C01571	C05264	C00010	C15783	C17332	C19858	C05498	C00080	C00064	C00206	C16356	C00046	C03406	C00300	C01817	C00123	C00407	C00450	C00750	C01044	C00355	C02265	C05654	C00119	C00315	C00245	C17961	C05335	C04260	C00127	C01231							C06240	C01759					C00162	C04063		C01233	C03820	C14779	C14825	C16330	C02934				C00227	C00988	C00683	C00246		C04556	C00016	C00647	C16152	C00882	C19845	C02147	C04807	C15493	C11829	C00356	C01563	C04022	C00047	C06899	C16549	C06837	C08316	C02673	C05378	C00036	C05749	C00231	C00035	C02291	C19971			C00119		C02160																													C01330	C00076	C00076					C00533		C01245	C00195	C00416	C12271					C18237												C00354					C14819	C00550		C01330	C00076																																																																																																																																																																																											
C00236	C16254	C00117	C02266	C01096	C01235	C00191	C06423	C05275	C05268	C01753	C17339	C19859	C18041	C00080	C00086	C00131	C16366	C00063	C00022	C01026	C03145	C00233	C00183	C04076	C00019	C03409	C04045	C02763	C05656	C00108	C00049	C00593	C06455	C05690	C04457	C00005	C00501							C04631	C17587					C11521	C04062		C00344	C04598	C14823	C14827	C16325	C00065				C05993	C00168	C02170	C00136		C04752	C00061	C00018	C03458	C00054	C19846	C22161	C00921	C15492	C05793	C00418	C00288	C03920	C01931	C07490	C16556	C16621	C08281	C04578	C01236	C00049	C05750	C00199	C00144	C00073	C19972			C00130		C01835																													C00076	C00076	C00238					C00007		C01220	C16845	C00025	C00245					C05924												C00022					C14818	C00219		C00238	C00547																																																																																																																																																																																											
C00186	C15973	C00119	C00379	C00325	C00089	C01040	C00024	C05274	C05270	C08830	C05451	C05848	C13712	C00007	C01010	C00008	C07480	C00039	C00438	C05519	C00109	C15975	C00141	C03273	C02714	C05133	C03758	C00166	C05641	C04302	C00750	C05123	C17943	C05336	C00692	C00006	C00394							C01050	C00043					C00681	C01220		C03892	C03372	C14776	C00219	C16327	C00154				C02504	C00266	C02335	C01412		C00118	C18910	C00627	C03056	C00229	C01209		C00568	C00778	C05794	C01107	C00011	C19692	C00041	C11150	C07645	C16613	C06425	C21678	C00236	C03283	C04620	C00117	C00387	C00036	C20082			C00101		C01083																													C00076	C00238	C00076					C14818		C04063	C00346	C00681	C00099					C18239												C00668					C14819	C00076		C01330	C00788																																																																																																																																																																																											
C15972	C00091	C00620	C00181	C01768	C00492	C00800	C00083	C01832	C20683	C08821	C05453	C05807	C05480	C00001	C00011	C00020	C07130	C00459	C00232	C00581	C00065	C02939	C04272	C04092	C05936	C05131	C05587	C01772	C01111	C01302	C00864	C01959	C05679	C00017	C06419	C01322	C00965							C16698	C17588					C00416	C00092		C00641	C03715	C04822	C00157	C16328	C00319				C02488	C01380	C05668	C00877		C04327	C01847	C00266	C16151	C00010	C19673		C00415	C05914	C05790	C01143	C00169	C01861	C00886	C11149	C16572	C16617	C06426	C11675	C00118	C00026	C05751	C00119	C00044	C00158	C20083			C00234		C00208																													C00076	C00076	C03758					C00072		C04062	C01245	C00639	C00037					C00044												C01172					C00127			C00080	C07056																																																																																																																																																																																											
C00469	C00026	C00121	C01068	C00577	C01235	C00333	C01209	C03221	C05279	C15782	C05454	C17551	C18042	C00080	C15532	C00212	C16352	C00363	C00025	C00049	C00155	C03069	C04181	C03239	C02946	C04437	C04043	C04044	C01249	C03506	C00222	C03149	C05683	C05703	C00135	C02320	C00498							C02713	C17589					C05401	C04006		C01210	C05212	C14824	C14831	C16300	C00195				C05994	C00160	C05984	C02411		C01081	C01352	C00314	C15986	C00831	C20372		C00504	C05915	C05777	C02321	C00244	C02084	C00183	C14867	C16569	C16616	C06429	C11643	C00111	C00322	C05752	C00279	C00385	C00311	C00270			C00101		C00031																													C00076	C00212	C01312					C00026		C04477	C00165	C00076	C16511					C00019												C00031					C14818			C01330	C00165																																																																																																																																																																																											
C00022	C05381	C00279	C00789	C00507	C05399	C01115	C03939	C05262	C01144	C02141	C05449	C05817	C05484	C00080	C00026	C00147	C01762	C00364	C00334	C03232	C00073	C05998	C06010	C00449	C03771	C02835	C05581	C03519	C00024	C00463	C01013	C05844	C05678	C02535	C22025	C05730	C00208							C00270	C15652					C00040	C03546		C13482	C04361	C14748	C07338	C16309	C02686				C01251	C00048	C05989	C03058		C02892	C03114	C04773	C01297	C00099	C20373		C00101	C05916	C11630	C00129	C00088	C00320	C02554	C14866	C16561	C16624	C16526	C20438	C00631	C00025	C05753	C02612	C01762	C00026	C00128			C00144		C00259																													C00076	C00027	C00780							C04637	C05981		C00506					C18237												C00024					C14818				C01245																																																																																																																																																																																											
C05125	C05125	C01218	C00022	C00861	C05400	C15924	C05744	C05263	C00010	C01943	C15613	C15547	C05478	C00008	C00437	C03794	C16365	C00214	C00064	C02291	C02291	C03231	C02504	C00431	C01035	C05130	C05582	C01198	C01717	C00078	C05668	C05122	C05673	C18902	C22024	C00025	C00721							C00128	C01737					C13508	C00191		C03974	C04517	C14749	C14826	C16326	C01747				C00083	C00209	C05983	C02630		C00068	C15563	C04690	C01056	C02642	C20374		C09332	C03455	C00931	C00235	C00064	C00087	C00073	C14868	C11004	C16625	C16527	C20436	C00279	C00077	C04619	C06032	C00655	C01251	C00645			C00440		C00794																													C11556		C01996							C00137	C00212		C00049					C00097												C00083					C14819				C00076																																																																																																																																																																																											
C00024	C00068	C05382	C03826	C01131	C05401	C03921	C04618	C02593	C05267	C11523	C01794	C00544	C05477	C00009	C20948	C00014	C16353	C00672	C00014	C00097	C00021	C00164	C02631	C05548	C02647	C00388	C00547	C05629	C01252	C00082	C00894	C00033	C05677	C18904	C00049	C05729	C01935							C03410	C18005					C04872	C01177		C00093	C03454	C14795	C01595	C04672	C03640				C00084	C00058	C01213	C00026		C03028	C01007	C03393	C16150	C00429	C20375		C03541	C05916	C00032	C16521	C00025	C00097	C02430	C14863	C16570	C07585	C16525	C20437	C00447	C00956	C05754	C00109	C00700	C05662	C22252			C00155		C00392																															C00334							C01204	C00154		C00025					C00041												C00162					C14819				C00547																																																																																																																																																																																											
C00084	C15972	C01801	C00502	C02431	C00116	C00818	C04246	C05273	C05266	C01054	C05337	C00811	C05483	C00080	C20949	C00130	C16360	C05281	C00169	C01005	C00019	C00332	C04411	C02727	C03078	C01929	C05589	C00079	C00328	C01179	C00100	C00025	C05681	C16638	C00402	C00037	C00973							C03691	C17586					C00040	C04637		C00111	C00670	C14794	C06426	C01226	C02960				C00033	C00011	C04225	C00024		C00378	C04732	C00279	C00006	C00106	C20376		C05927	C11061	C00992	C00341	C00244	C00979	C00234	C14862	C16571	C07447	C16513	C20408	C05382	C00047	C05755	C06010	C01337	C00322	C22253			C00073		C00243																															C00788							C00269	C00533		C00002					C00097												C00698					C14818				C00788																																																																																																																																																																																											
