aga00010	aga00020	aga00030	aga00040	aga00051	aga00052	aga00053	aga00061	aga00062	aga00071	aga00100	aga00130	aga00190	aga00220	aga00230	aga00232	aga00240	aga00250	aga00260	aga00270	aga00280	aga00290	aga00310	aga00330	aga00340	aga00350	aga00360	aga00380	aga00400	aga00410	aga00430	aga00440	aga00450	aga00470	aga00480	aga00500	aga00510	aga00511	aga00512	aga00513	aga00514	aga00515	aga00520	aga00531	aga00532	aga00533	aga00534	aga00561	aga00562	aga00563	aga00564	aga00565	aga00590	aga00592	aga00600	aga00601	aga00603	aga00604	aga00620	aga00630	aga00640	aga00650	aga00670	aga00730	aga00740	aga00750	aga00760	aga00770	aga00780	aga00785	aga00790	aga00830	aga00860	aga00900	aga00910	aga00920	aga00970	aga00980	aga00981	aga00982	aga00983	aga01040	aga01100	aga01200	aga01210	aga01212	aga01230	aga01232	aga01240	aga01250	aga02010	aga03008	aga03010	aga03013	aga03015	aga03018	aga03020	aga03022	aga03030	aga03040	aga03050	aga03060	aga03250	aga03266	aga03410	aga03420	aga03430	aga03440	aga03450	aga03460	aga04013	aga04068	aga04070	aga04080	aga04120	aga04122	aga04130	aga04136	aga04137	aga04140	aga04141	aga04142	aga04144	aga04145	aga04146	aga04150	aga04213	aga04214	aga04215	aga04310	aga04320	aga04330	aga04341	aga04350	aga04391	aga04392	aga04512	aga04624	aga04711	aga04745	aga04814
																																																																																		C21073																																																										
																																																																																		C12318																																																										
																																																																																		C11921																																																										
																																																																																		C21071																																																										
																																																																																		C11927																																																										
																																																																																		C11916																																																										
																																																																																		C11915																																																										
																																																																																		C18035																																																										
																																																																																		C11928																																																										
																																																																																		C06620																																																										
																																																																																		C11911																																																										
																																																																																		C11910																																																										
																																																																																		C11909																																																										
																																																																																		C04268																																																										
																																																																																		C11933																																																										
																																																																																		C11925																																																										
																																																																																		C11908																																																										
																																																																																		C12481																																																										
																																																																																		C11460																																																										
																																																																																		C11912																																																										
																																																																																		C11926																																																										
																																																																																		C03319																																																										
																																																																																		C00688																																																										
																																																																																		C11907																																																										
																																																																																		C12381																																																										
																																																																																		C20977																																																										
																																																																																		C20976																																																										
																																																																																		C20975																																																										
																																																																																		C20974																																																										
																																																																																		C06801																																																										
																																																																																		C12371																																																										
																																																																																		C12370																																																										
																																																																																		C12379																																																										
																																																																																		C12378																																																										
																																																																																		C12369																																																										
																																																																																		C12368																																																										
																																																																																		C12367																																																										
																																																																																		C12366																																																										
																																																																																		C12389																																																										
																																																																																		C18711																																																										
																																																																																		C12388																																																										
																																																																																		C18710																																																										
																																																																																		C12387																																																										
																																																																																		C12386																																																										
																																																																																		C12385																																																										
																																																																																		C12384																																																										
																																																																																		C12383																																																										
																																																																																		C12382																																																										
																																																																																		C12424																																																										
																																																																																		C12423																																																										
																																																																																		C12422																																																										
																																																																																		C12421																																																										
																																																																																		C18631																																																										
																																																																																		C18630																																																										
																																																																																		C12415																																																										
																																																																																		C12416																																																										
																																																																																		C12420																																																										
																																																																																		C18335																																																										
																																																																																		C18334																																																										
																																																																																		C06571																																																										
																																																																																		C06624																																																										
																																																																																		C18296																																																										
																																																																																		C06570																																																										
																																																																																		C03206																																																										
																																																																																		C02811																																																										
																																																																																		C06654																																																										
																																																																																		C06627																																																										
																																																																																		C06628																																																										
																																																																																		C06629																																																										
																																																																																		C18295																																																										
																																																																																		C12436																																																										
																																																																																		C12435																																																										
																																																																																		C12434																																																										
																																																																																		C18356																																																										
																																																																																		C18354																																																										
																																																																																		C18709																																																										
																																																																																		C18336																																																										
																																																																																		C18629																																																										
																																																																																		C18332																																																										
																																																																																		C18331																																																										
																																																																																		C18330																																																										
																																																																																		C18337																																																										
																																																																																		C21430																																																										
																																																																																		C18294																																																										
																																																																																		C18293																																																										
																																																																																		C12442																																																										
																																																																																		C18353																																																										
																																																																																		C18329																																																										
																																																																																		C18328																																																										
																																																																																		C18327																																																										
																																																																																		C12441																																																										
																																																																																		C12354																																																										
																																																																																		C11469																																																										
																																																																																		C21342																																																										
																																																																																		C21341																																																										
																																																																																		C21340																																																										
																																																																																		C21339																																																										
																																																																																		C21338																																																										
																																																																																		C21337																																																										
																																																																																		C21347																																																										
																																																																																		C21346																																																										
																																																																																		C21345																																																										
																																																																																		C21344																																																										
																																																																																		C21343																																																										
																																																																																		C21328																																																										
																																																																																		C21327																																																										
																																																																																		C21326																																																										
																																																																																		C21325																																																										
																																																																																		C21301																																																										
																																																																																		C21324																																																										
																																																																																		C21323																																																										
																																																																																		C21322																																																										
																																																																																		C21321																																																										
																																																																																		C21320																																																										
																																																																																		C06635																																																										
																																																																																		C03240																																																										
																																																																																		C01912																																																										
																																																																																		C06616																																																										
																																																																																		C06633																																																										
																																																																																		C06630																																																										
																																																																																		C11438																																																										
																																																																																		C21292																																																										
																																																																																		C12049																																																										
																																																																																		C20842																																																										
																																																																																		C20841																																																										
																																																																																		C20857																																																										
																																																																																		C20856																																																										
																																																																																		C21312																																																										
																																																																																		C21311																																																										
																																																																																		C11449																																																										
																																																																																		C20810																																																										
																																																																																		C21309																																																										
																																																																																		C21308																																																										
																																																																																		C11448																																																										
																																																																																		C11468																																																										
																																																																																		C21307																																																										
																																																																																		C21306																																																										
																																																																																		C19686																																																										
																																																																																		C18054																																																										
																																																																																		C11967																																																										
																																																																																		C11965																																																										
																																																																																		C11968																																																										
																																																																																		C11966																																																										
																																																																																		C11964																																																										
																																																																																		C11963																																																										
																																																																																		C11962																																																										
																																																																																		C11983																																																										
																																																																																		C11981																																																										
																																																																																		C11984																																																										
																																																																																		C11982																																																										
																																																																																		C11980																																																										
																																																																																		C11979																																																										
																																																																																		C11978																																																										
																																																																																		C11977																																																										
																																																																																		C01033																																																										
																																																																																		C11961																																																										
																																																																																		C11996																																																										
																																																																																		C11994																																																										
																																																																																		C11999																																																										
																																																																																		C11998																																																										
																																																																																		C01946																																																										
																																																																																		C11992																																																										
																																																																																		C11991																																																										
																																																																																		C11990																																																										
																																																																																		C06653																																																										
																																																																																		C01457																																																										
																																																																																		C00744																																																										
																																																																																		C02400																																																										
																																																																																		C12003																																																										
																																																																																		C12002																																																										
																																																																																		C20760																																																										
																																																																																		C12001																																																										
																																																																																		C12000																																																										
																																																																																		C02557																																																										
																																																																																		C15797																																																										
																																																																																		C15796																																																										
																																																																																		C15795																																																										
																																																																																		C20345																																																										
																																																																																		C20848																																																										
																																																																																		C20847																																																										
																																																																																		C14153																																																										
																																																																																		C14154																																																										
																																																																																		C14155																																																										
																																																																																		C14156																																																										
																																																																																		C20738																																																										
																																																																																		C05847																																																										
																																																																																		C03657																																																										
																																																																																		C05777																																																										
																																																																																		C21512																																																										
																																																																																		C21511																																																										
																																																																																		C21510																																																										
																																																																																		C21835																																																										
																																																																																		C01596																																																										
																																																																																		C18232																																																										
																																																																																		C01020																																																										
																																																																																		C01059																																																										
																																																																																		C19567																																																										
																																																																																		C21154																																																										
																																																																																		C20361																																																										
																																																																																		C19569																																																										
																																																																																		C19631																																																										
																																																																																		C15987																																																										
																																																																																		C01056																																																										
																																																																																		C03056																																																										
																																																																																		C15986																																																										
																																																																																		C01297																																																										
																																																																																		C21075																																																										
																																																																																		C03043																																																										
																																																																																		C21998																																																										
																																																																																		C21997																																																										
																																																																																		C21996																																																										
																																																																																		C21995																																																										
																																																																																		C21994																																																										
																																																																																		C21988																																																										
																																																																																		C20825																																																										
																																																																																		C20859																																																										
																																																																																		C02133																																																										
																																																																																		C00173																																																										
																																																																																		C00184																																																										
																																																																																		C16583																																																										
																																																																																		C16597																																																										
																																																																																		C00101																																																										
																																																																																		C21390																																																										
																																																																																		C02091																																																										
																																																																																		C03646																																																										
																																																																																		C05727																																																										
																																																																																		C00436																																																										
																																																																																		C00179																																																										
																																																																																		C03341																																																										
																																																																																		C03943																																																										
																																																																																		C02237																																																										
																																																																																		C01401																																																										
																																																																																		C05714																																																										
																																																																																		C05715																																																										
																																																																																		C00302																																																										
																																																																																		C03219																																																										
																																																																																		C20314																																																										
																																																																																		C20313																																																										
																																																																																		C08325																																																										
																																																																																		C00844																																																										
																																																																																		C05143																																																										
																																																																																		C00561																																																										
																																																																																		C16074																																																										
																																																																																		C16075																																																										
																																																																																		C19714																																																										
																																																																																		C19715																																																										
																																																																																		C19712																																																										
																																																																																		C03742																																																										
																																																																																		C04350																																																										
																																																																																		C15503																																																										
																																																																																		C03004																																																										
																																																																																		C05690																																																										
																																																																																		C05678																																																										
																																																																																		C06454																																																										
																																																																																		C06452																																																										
																																																																																		C20440																																																										
																																																																																		C20423																																																										
																																																																																		C20422																																																										
																																																																																		C20396																																																										
																																																																																		C05682																																																										
																																																																																		C06451																																																										
																																																																																		C00593																																																										
																																																																																		C05340																																																										
																																																																																		C05341																																																										
																																																																																		C22053																																																										
																																																																																		C17235																																																										
																																																																																		C20327																																																										
																																																																																		C20654																																																										
																																																																																		C20653																																																										
																																																																																		C00944																																																										
																																																																																		C00296																																																										
																																																																																		C16848																																																										
																																																																																		C00441																																																										
																																																																																		C03082																																																										
																																																																																		C16850																																																										
																																																																																		C05646																																																										
																																																																																		C01598																																																										
																																																																																		C05644																																																										
																																																																																		C22006																																																										
																																																																																		C06213																																																										
																																																																																		C02161																																																										
																																																																																		C01987																																																										
																																																																																		C05837																																																										
																																																																																		C16517																																																										
																																																																																		C16516																																																										
																																																																																		C16518																																																										
																																																																																		C02693																																																										
																																																																																		C02938																																																										
																																																																																		C17203																																																										
																																																																																		C03230																																																										
																																																																																		C04479																																																										
																																																																																		C11457																																																										
																																																																																		C04044																																																										
																																																																																		C11588																																																										
																																																																																		C01198																																																										
																																																																																		C01772																																																										
																																																																																		C05629																																																										
																																																																																		C12621																																																										
																																																																																		C12624																																																										
																																																																																		C12623																																																										
																																																																																		C12622																																																										
																																																																																		C05607																																																										
																																																																																		C02763																																																										
																																																																																		C03519																																																										
																																																																																		C05620																																																										
																																																																																		C02265																																																										
																																																																																		C19945																																																										
