aga00010	aga00020	aga00030	aga00040	aga00051	aga00052	aga00053	aga00061	aga00062	aga00071	aga00100	aga00130	aga00190	aga00220	aga00230	aga00232	aga00240	aga00250	aga00260	aga00270	aga00280	aga00290	aga00310	aga00330	aga00340	aga00350	aga00360	aga00380	aga00400	aga00410	aga00430	aga00440	aga00450	aga00470	aga00480	aga00500	aga00510	aga00511	aga00512	aga00513	aga00514	aga00515	aga00520	aga00531	aga00532	aga00533	aga00534	aga00561	aga00562	aga00563	aga00564	aga00565	aga00590	aga00592	aga00600	aga00601	aga00603	aga00604	aga00620	aga00630	aga00640	aga00650	aga00670	aga00730	aga00740	aga00750	aga00760	aga00770	aga00780	aga00785	aga00790	aga00830	aga00860	aga00900	aga00910	aga00920	aga00970	aga00980	aga00981	aga00982	aga00983	aga01040	aga01100	aga01200	aga01210	aga01212	aga01230	aga01232	aga01240	aga01250	aga02010	aga03008	aga03010	aga03013	aga03015	aga03018	aga03020	aga03022	aga03030	aga03040	aga03050	aga03060	aga03250	aga03266	aga03410	aga03420	aga03430	aga03440	aga03450	aga03460	aga04013	aga04068	aga04070	aga04080	aga04120	aga04122	aga04130	aga04136	aga04137	aga04140	aga04141	aga04142	aga04144	aga04145	aga04146	aga04150	aga04213	aga04214	aga04215	aga04310	aga04320	aga04330	aga04341	aga04350	aga04391	aga04392	aga04512	aga04624	aga04711	aga04745	aga04814
C00074	C15972	C03752	C00029	C00464	C01286	C00096	C02679	C05265	C05271	C15780	C17552	C00080	C01250	C00360	C16358	C00106	C03794	C00197	C01137	C00068	C00671	C00408	C01137	C00049	C05579	C05853	C05655	C00079	C00986	C00506	C17960	C05698	C00022	C03646	C00031							C13952					C00040	C04579		C00570	C04635	C14821	C16331	C05681				C00024	C00258	C00100	C02527		C01279	C01727	C00534	C04226	C01134	C06250	C02972	C01300	C16681	C11830	C11811	C01417	C00409	C03127	C14869	C01164	C16591	C02380	C08323	C09789	C00354	C08412	C05748	C05345	C00242	C00049	C19961	C00492																						C01284	C12272		C00019							C00044																	C01330	
C00197	C00068	C04442	C00312	C02492	C00446	C02670	C01571	C05264	C00010	C15783	C19858	C00080	C00064	C00206	C16356	C00046	C03406	C00300	C01817	C00123	C00407	C00450	C00750	C01044	C00355	C02265	C05654	C00119	C00315	C00245	C17961	C05335	C04260	C00127	C01231							C06240					C00162	C04063		C01233	C03820	C14779	C16330	C02934				C00227	C00988	C00683	C00246		C04556	C00016	C00647	C16152	C00882	C19845	C02147	C04807	C15493	C11829	C00356	C01563	C04022	C00047	C06899	C16507	C16549	C06837	C08316	C09099	C05378	C00036	C05749	C00231	C00035	C02291	C19971	C02160																						C01245	C12271		C18237																								C02112	
C00236	C16254	C00117	C02266	C01096	C01235	C00191	C06423	C05275	C05268	C01753	C19859	C00080	C00086	C00131	C16366	C00063	C00022	C01026	C03145	C00233	C00183	C04076	C00019	C03409	C04045	C02763	C05656	C00108	C00049	C00593	C06455	C05690	C04457	C00005	C00501							C04631					C11521	C04062		C00344	C04598	C14823	C16325	C00065				C05993	C00168	C02170	C00136		C04752	C00061	C00018	C03458	C00054	C19846	C22161	C00921	C15492	C05793	C00418	C00288	C03920	C01931	C07490	C16508	C16556	C16621	C08281	C22553	C01236	C00049	C05750	C00199	C00144	C00073	C19972	C01835																						C01220	C00245		C05924																								C01530	
C00186	C15973	C00119	C00379	C00325	C00089	C01040	C00024	C05274	C05270	C08830	C05848	C00007	C01010	C00008	C07480	C00039	C00438	C05519	C00109	C15975	C00141	C03273	C02714	C05133	C03758	C00166	C05641	C04302	C00750	C05123	C17943	C05336	C00692	C00006	C00394							C01050					C00681	C01220		C03892	C03372	C14776	C16327	C00154				C02504	C00266	C02335	C01412		C00118	C18910	C00627	C03056	C00229	C01209		C00568	C00778	C05794	C01107	C00011	C19692	C00041	C11150	C00477	C07645	C16613	C06425	C22552	C00236	C03283	C04620	C00117	C00387	C00036	C20082	C01083																						C04063	C00099		C18239																								C00076	
C15972	C00091	C00620	C00181	C01768	C00492	C00800	C00083	C01832	C20683	C08821	C05807	C00001	C00011	C00020	C07130	C00459	C00232	C00581	C00065	C02939	C04272	C04092	C05936	C05131	C05587	C01772	C01111	C01302	C00864	C01959	C05679	C00017	C06419	C01322	C00965							C16698					C00416	C00092		C00641	C03715	C04822	C16328	C00319				C02488	C01380	C05668	C00877		C04327	C01847	C00266	C16151	C00010	C19673		C00415	C05914	C05790	C01143	C00169	C01861	C00886	C11149	C16493	C16572	C16617	C06426	C22337	C00118	C00026	C05751	C00119	C00044	C00158	C20083	C00208																						C04062	C00037		C00044																									
C00469	C00026	C00121	C01068	C00577	C01235	C00333	C01209	C03221	C05279	C15782	C17551	C00080	C15532	C00212	C16352	C00363	C00025	C00049	C00155	C03069	C04181	C03239	C02946	C04437	C04043	C04044	C01249	C03506	C00222	C03149	C05683	C05703	C00135	C02320	C00498							C02713					C05401	C04006		C01210	C05212	C14824	C16300	C00195				C05994	C00160	C05984	C02411		C01081	C01352	C00314	C15986	C00831	C20372		C00504	C05915	C05777	C02321	C00244	C02084	C00183	C14867	C00187	C16569	C16616	C06429	C10447	C00111	C00322	C05752	C00279	C00385	C00311	C00270	C00031																						C04477	C16511		C00019																									
C00022	C05381	C00279	C00789	C00507	C05399	C01115	C03939	C05262	C01144	C02141	C05817	C00080	C00026	C00147	C01762	C00364	C00334	C03232	C00073	C05998	C06010	C00449	C03771	C02835	C05581	C03519	C00024	C00463	C01013	C05844	C05678	C02535	C22025	C05730	C00208							C00270					C00040	C03546		C13482	C04361	C14748	C16309	C02686				C01251	C00048	C05989	C03058		C02892	C03114	C04773	C01297	C00099	C20373		C00101	C05916	C11630	C00129	C00088	C00320	C02554	C14866	C16498	C16561	C16624	C16526	C21191	C00631	C00025	C05753	C02612	C01762	C00026	C00128	C00259																						C04637	C00506		C18237																									
C05125	C05125	C01218	C00022	C00861	C05400	C15924	C05744	C05263	C00010	C01943	C15547	C00008	C00437	C03794	C16365	C00214	C00064	C02291	C02291	C03231	C02504	C00431	C01035	C05130	C05582	C01198	C01717	C00078	C05668	C05122	C05673	C18902	C22024	C00025	C00721							C00128					C13508	C00191		C03974	C04517	C14749	C16326	C01747				C00083	C00209	C05983	C02630		C00068	C15563	C04690	C01056	C02642	C20374		C09332	C03455	C00931	C00235	C00064	C00087	C00073	C14868	C03461	C11004	C16625	C16527	C05906	C00279	C00077	C04619	C06032	C00655	C01251	C00645	C00794																						C00137	C00049		C00097																									
C00024	C00068	C05382	C03826	C01131	C05401	C03921	C04618	C02593	C05267	C11523	C00544	C00009	C20948	C00014	C16353	C00672	C00014	C00097	C00021	C00164	C02631	C05548	C02647	C00388	C00547	C05629	C01252	C00082	C00894	C00033	C05677	C18904	C00049	C05729	C01935							C03410					C04872	C01177		C00093	C03454	C14795	C04672	C03640				C00084	C00058	C01213	C00026		C03028	C01007	C03393	C00745	C00429	C20375		C03541	C05916	C00032	C16521	C00025	C00097	C02430	C14863	C00448	C16570	C07585	C16525	C14131	C00447	C00956	C05754	C00109	C00700	C05662	C22252	C00392																						C01204	C00025		C00041																									
C00084	C15972	C01801	C00502	C02431	C00116	C00818	C04246	C05273	C05266	C01054	C00811	C00080	C20949	C00130	C16360	C05281	C00169	C01005	C00019	C00332	C04411	C02727	C03078	C01929	C05589	C00079	C00328	C01179	C00100	C00025	C05681	C16638	C00402	C00037	C00973							C03691					C00040	C04637		C00111	C00670	C14794	C01226	C02960				C00033	C00011	C04225	C00024		C00378	C04732	C00279	C00006	C00106	C20376		C05927	C11061	C00992	C00341	C00244	C00979	C00234	C14862	C16503	C16571	C07447	C16513	C22558	C05382	C00047	C05755	C06010	C01337	C00322	C22253	C00243																						C00269	C00002		C00097																									
